author,local_guide_info,rating,review,date_text,text_backup
José Antonio Palacios Tovar,Local Guide · 92 reseñas · 377 fotos,5 estrellas,"Además de que da un vibra de un bar de los 50’s, las hamburguesas fueron un descubrimiento. En un Madrid donde todos aman las smash, es bonito seguir teniendo un lugar con hamburguesas de verdad (y buenas).",Hace 2 semanas,"José Antonio Palacios Tovar
Local Guide · 92 reseñas · 377 fotos






Hace 2 semanas
NUEVA
Además de que da un vibra de un bar de los 50’s, las hamburguesas fueron un descubrimiento. En un Madrid donde todos aman las smash, es bonito seguir teniendo un lugar con hamburguesas de verdad (y buenas).
Comida: 5
Servicio: 5
Ambiente: 5
2 más

Me gusta

Compartir"
Rodrigo Pérez,Local Guide · 35 reseñas · 96 fotos,4 estrellas,"La hamburguesa de pollo frito estaba muy rica (no me acuerdo de su nombre en la carta) y las patatas que la acompañaban también estaban muy buenas. El sándwich club estaba un poco seco, pero estaba rico.

Pedimos las berenjenas fritas y estaban muy buenas. El servicio fue muy amable y el local estaba bien, aunque tenía música de fondo. No estaba especialmente alta, pero se escuchaba, lo que podría no gustar a todos. Tienen algún plato “curioso” como las albondigas que no tienen mucho de especial. Hay opción de terraza que se agradece. En general muy bien, no es la primera vez que vengo y volveré!",Hace un mes,"Rodrigo Pérez
Local Guide · 35 reseñas · 96 fotos






Hace un mes
La hamburguesa de pollo frito estaba muy rica (no me acuerdo de su nombre en la carta) y las patatas que la acompañaban también estaban muy buenas. El sándwich club estaba un poco seco, pero estaba rico.

Pedimos las berenjenas fritas y estaban muy buenas. El servicio fue muy amable y el local estaba bien, aunque tenía música de fondo. No estaba especialmente alta, pero se escuchaba, lo que podría no gustar a todos. Tienen algún plato “curioso” como las albondigas que no tienen mucho de especial. Hay opción de terraza que se agradece. En general muy bien, no es la primera vez que vengo y volveré!
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
30-40 €
Comida: 4
Servicio: 5
Ambiente: 4

Me gusta

Compartir"
Rainer Alfonso Ravelo,2 reseñas · 2 fotos,5 estrellas,"Estuve cenando en familia el martes y además de la excelente atención de Fernanda disfrutamos de unas hamburguesas deliciosas y el lugar nos encantó, gracias a todo el equipo, lo recomendaré sin dudas.",Hace una semana,"Rainer Alfonso Ravelo
2 reseñas · 2 fotos






Hace una semana
NUEVA
Estuve cenando en familia el martes y además de la excelente atención de Fernanda disfrutamos de unas hamburguesas deliciosas y el lugar nos encantó, gracias a todo el equipo, lo recomendaré sin dudas.
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
FELIX LIMIA,Local Guide · 11 reseñas · 11 fotos,3 estrellas,"Solo tomamos un vermút y una cerveza. El bar mola, cafetería sacada de otra época.  Del estilo Nebraska. Ambiente agradable. El personal atento, buen trato. Vimos pasar hamburguesas con muy buena pinta… volveremos para probarlas.",Hace 4 meses,"FELIX LIMIA
Local Guide · 11 reseñas · 11 fotos






Hace 4 meses
Solo tomamos un vermút y una cerveza. El bar mola, cafetería sacada de otra época.  Del estilo Nebraska. Ambiente agradable. El personal atento, buen trato. Vimos pasar hamburguesas con muy buena pinta… volveremos para probarlas.
Servicio: 3
Ambiente: 3

Me gusta

Compartir"
Clara G S,58 reseñas · 45 fotos,1 estrella,"Un gofre frío y tieso 9,20€? Nunca me había sentido tan estafada, y 3 batidos y un gofre 29€? Sigo sin dar crédito, iba bastante pero no vuelvo",hace 4 días,"Clara G S
58 reseñas · 45 fotos






hace 4 días
NUEVA
Un gofre frío y tieso 9,20€? Nunca me había sentido tan estafada, y 3 batidos y un gofre 29€? Sigo sin dar crédito, iba bastante pero no vuelvo
Comida: 1
Servicio: 1
Ambiente: 2

Me gusta

Compartir"
ANTONIO CRUZ SANCHEZ,Local Guide · 3.635 reseñas · 8.906 fotos,5 estrellas,"Nos ha encantado este lugar, tanto el
Café y la comida estaban muy ricos
La atención del personal ha sido excelente también",Hace 4 meses,"ANTONIO CRUZ SANCHEZ
Local Guide · 3.635 reseñas · 8.906 fotos






Hace 4 meses
Nos ha encantado este lugar, tanto el
Café y la comida estaban muy ricos
La atención del personal ha sido excelente también
Servicio
Comí allí
Tipo de comida
Otro
Precio por persona
10-20 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Gofres

Me gusta

Compartir"
Francisco Martinez,4 reseñas · 1 foto,5 estrellas,La comida de otro nivel y el servicio de parte de Fernanda excelente. Les recomiendo el mojito cha cha cha para refrescarse. La hamburguesa italiana con mozzarella y pesto de lo mejor que he probado en mi vida. Repetiré sin dudarlo :),Hace un mes,"Francisco Martinez
4 reseñas · 1 foto






Hace un mes
La comida de otro nivel y el servicio de parte de Fernanda excelente. Les recomiendo el mojito cha cha cha para refrescarse. La hamburguesa italiana con mozzarella y pesto de lo mejor que he probado en mi vida. Repetiré sin dudarlo :)
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
10-20 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Hamburguesa Italiana

Me gusta

Compartir"
Seilor 07,Local Guide · 193 reseñas · 387 fotos,2 estrellas,"Edito la reseña anterior, porque he ido más veces y me ha gustado, pero 9€ por un desayuno con esa cantidad ridícula (ver las fotos), y 6€ por un smoothie, me parece ya pasarse. Si hubiesen sido súper agradables pondría una mejor valoración, pero ni eso.
Creo que hay sitios mejores, no merece la pena.",Hace 2 semanas,"Seilor 07
Local Guide · 193 reseñas · 387 fotos






Hace 2 semanas
NUEVA
Edito la reseña anterior, porque he ido más veces y me ha gustado, pero 9€ por un desayuno con esa cantidad ridícula (ver las fotos), y 6€ por un smoothie, me parece ya pasarse. Si hubiesen sido súper agradables pondría una mejor valoración, pero ni eso.
Creo que hay sitios mejores, no merece la pena.
Servicio
Comí allí
Tipo de comida
Brunch
Precio por persona
10-20 €
Comida: 2
Servicio: 3
Ambiente: 4
Comida vegetariana
Tienen opciones muy ricas
Plaza de aparcamiento
Es difícil aparcar
Opciones de aparcamiento
Aparcamiento en la calle de pago

Me gusta

Compartir"
Carlos Altuna Pardo,4 reseñas · 1 foto,5 estrellas,"Viví en este barrio en los 80 , he vuelto a este emblemático café y me he quedado maravillado por el ambiente , comida su estilo vintage de mi época , la atención de Jabiel insuperable! Genuino dominicano encantador y buen profesional! Enhorabuena",Hace 4 meses,"Carlos Altuna Pardo
4 reseñas · 1 foto






Hace 4 meses
Viví en este barrio en los 80 , he vuelto a este emblemático café y me he quedado maravillado por el ambiente , comida su estilo vintage de mi época , la atención de Jabiel insuperable! Genuino dominicano encantador y buen profesional! Enhorabuena
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
30-40 €
Comida: 4
Servicio: 5
Ambiente: 5
Platos recomendados
Eggburger

Me gusta

Compartir"
M.Carmen Postigo Cabrera,Local Guide · 64 reseñas · 24 fotos,5 estrellas,"Ambiente con aire retro, cálido y tranquilo para ir en grupo o en pareja. Los nachos están buenísimos, la presentación es bastante original; y la hamburguesa con el queso crocante te deja sin palabras. Se nota que la carne es de calidad y los precios muy asequibles. El servicio es muy atento.",Hace 6 meses,"M.Carmen Postigo Cabrera
Local Guide · 64 reseñas · 24 fotos






Hace 6 meses
Ambiente con aire retro, cálido y tranquilo para ir en grupo o en pareja. Los nachos están buenísimos, la presentación es bastante original; y la hamburguesa con el queso crocante te deja sin palabras. Se nota que la carne es de calidad y los precios muy asequibles. El servicio es muy atento.
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
10-20 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Plaza de aparcamiento
Es algo difícil aparcar
Opciones de aparcamiento
Aparcamiento de pago, Aparcamiento en la calle de pago y Parking de pago
Aparcamiento
Hay un parking cerca y zona azul. Si vas el fin de semana con tiempo, es posible que encuentres aparcamiento cerca.
Acceso para sillas de ruedas
Tiene un escalón en la entrada y la puerta no es automática, por lo que necesitarás ayuda.

Me gusta

Compartir"
